,teamname,bcs,team,opponent,line,overunder,ownscore,opponentscore,vseteamname,date,day,month,year,season,realspread,win,tie,week
10,Air Force,,42,41,-26.0,,48,6,,1985-08-31,31.0,8.0,1985.0,1985,42.0,1.0,0.0,1
4,Air Force,,42,87,-8.0,,49,7,,1985-09-14,14.0,9.0,1985.0,1985,42.0,1.0,0.0,2
3,Air Force,,42,98,-24.0,,59,17,,1985-09-21,21.0,9.0,1985.0,1985,42.0,1.0,0.0,3
9,Air Force,,42,63,-18.0,,49,12,,1985-09-28,28.0,9.0,1985.0,1985,37.0,1.0,0.0,4
1,Air Force,,42,102,-4.5,44.5,21,15,,1985-10-05,5.0,10.0,1985.0,1985,6.0,1.0,0.0,5
11,Air Force,,42,66,-7.5,,24,7,,1985-10-12,12.0,10.0,1985.0,1985,17.0,1.0,0.0,6
5,Air Force,,42,89,-23.0,,35,19,,1985-10-19,19.0,10.0,1985.0,1985,16.0,1.0,0.0,7
2,Air Force,,42,93,-13.0,,37,15,,1985-10-26,26.0,10.0,1985.0,1985,22.0,1.0,0.0,8
6,Air Force,,42,132,-19.5,,31,10,,1985-11-02,2.0,11.0,1985.0,1985,21.0,1.0,0.0,9
0,Air Force,,42,127,-12.5,,45,7,,1985-11-09,9.0,11.0,1985.0,1985,38.0,1.0,0.0,10
7,Air Force,,42,33,1.5,,21,28,,1985-11-16,16.0,11.0,1985.0,1985,-7.0,0.0,0.0,11
12,Air Force,,42,50,-15.5,,27,20,,1985-11-23,23.0,11.0,1985.0,1985,7.0,1.0,0.0,12
23,Air Force,,42,50,-11.5,,24,17,,1986-08-30,30.0,8.0,1986.0,1986,7.0,1.0,0.0,1
21,Air Force,,42,41,-15.0,,23,21,,1986-09-06,6.0,9.0,1986.0,1986,2.0,1.0,0.0,2
16,Air Force,,42,87,-12.0,,17,23,,1986-09-20,20.0,9.0,1986.0,1986,-6.0,0.0,0.0,3
18,Air Force,,42,89,-4.5,,24,7,,1986-09-27,27.0,9.0,1986.0,1986,17.0,1.0,0.0,4
20,Air Force,,42,93,-7.5,,45,35,,1986-10-03,3.0,10.0,1986.0,1986,10.0,1.0,0.0,5
13,Air Force,,42,66,-5.0,,40,6,,1986-10-11,11.0,10.0,1986.0,1986,34.0,1.0,0.0,6
17,Air Force,,42,102,9.5,39.5,3,31,,1986-10-18,18.0,10.0,1986.0,1986,-28.0,0.0,0.0,7
15,Air Force,,42,132,-3.0,,22,10,,1986-10-25,25.0,10.0,1986.0,1986,12.0,1.0,0.0,8
14,Air Force,,42,127,-8.5,,11,21,,1986-11-08,8.0,11.0,1986.0,1986,-10.0,0.0,0.0,9
22,Air Force,,42,98,-11.0,,17,21,,1986-11-22,22.0,11.0,1986.0,1986,-4.0,0.0,0.0,10
31,Air Force,,42,87,5.5,,13,27,,1987-09-05,5.0,9.0,1987.0,1987,-14.0,0.0,0.0,1
30,Air Force,,42,110,-1.0,,21,10,,1987-09-12,12.0,9.0,1987.0,1987,11.0,1.0,0.0,2
25,Air Force,,42,132,1.0,,49,7,,1987-09-19,19.0,9.0,1987.0,1987,42.0,1.0,0.0,3
36,Air Force,,42,89,-13.5,,27,19,,1987-09-26,26.0,9.0,1987.0,1987,8.0,1.0,0.0,4
29,Air Force,,42,93,-11.0,,48,27,,1987-10-03,3.0,10.0,1987.0,1987,21.0,1.0,0.0,5
28,Air Force,,42,66,-20.5,,23,13,,1987-10-10,10.0,10.0,1987.0,1987,10.0,1.0,0.0,6
24,Air Force,,42,102,12.5,,14,35,,1987-10-17,17.0,10.0,1987.0,1987,-21.0,0.0,0.0,7
27,Air Force,,42,41,-6.0,,35,7,,1987-10-24,24.0,10.0,1987.0,1987,28.0,1.0,0.0,8
33,Air Force,,42,33,1.5,46.0,13,24,,1987-10-31,31.0,10.0,1987.0,1987,-11.0,0.0,0.0,9
35,Air Force,,42,127,-13.5,,27,10,,1987-11-07,7.0,11.0,1987.0,1987,17.0,1.0,0.0,10
26,Air Force,,42,63,-22.0,,73,26,,1987-11-14,14.0,11.0,1987.0,1987,47.0,1.0,0.0,11
32,Air Force,,42,50,-6.5,45.0,34,31,,1987-11-21,21.0,11.0,1987.0,1987,3.0,1.0,0.0,12
38,Air Force,,42,89,-8.0,,29,23,,1988-09-03,3.0,9.0,1988.0,1988,6.0,1.0,0.0,1
42,Air Force,,42,132,-8.5,47.0,36,39,,1988-09-10,10.0,9.0,1988.0,1988,-3.0,0.0,0.0,2
48,Air Force,,42,94,-16.0,,62,27,,1988-09-17,17.0,9.0,1988.0,1988,35.0,1.0,0.0,3
40,Air Force,,42,87,1.5,,45,48,,1988-09-24,24.0,9.0,1988.0,1988,-3.0,0.0,0.0,4
46,Air Force,,42,63,-37.0,,63,14,,1988-10-01,1.0,10.0,1988.0,1988,49.0,1.0,0.0,5
45,Air Force,,42,66,-20.0,,34,24,,1988-10-08,8.0,10.0,1988.0,1988,10.0,1.0,0.0,6
47,Air Force,,42,93,-12.0,,56,49,,1988-10-15,15.0,10.0,1988.0,1988,7.0,1.0,0.0,7
44,Air Force,,42,102,-20.0,,13,41,,1988-10-22,22.0,10.0,1988.0,1988,-28.0,0.0,0.0,8
41,Air Force,,42,127,-1.0,,15,28,,1988-11-05,5.0,11.0,1988.0,1988,-13.0,0.0,0.0,9
39,Air Force,,42,33,5.0,,31,49,,1988-11-12,12.0,11.0,1988.0,1988,-18.0,0.0,0.0,10
43,Air Force,,42,41,6.5,,24,31,,1988-11-19,19.0,11.0,1988.0,1988,-7.0,0.0,0.0,11
37,Air Force,,42,50,3.0,,14,19,,1988-11-26,26.0,11.0,1988.0,1988,-5.0,0.0,0.0,12
51,Air Force,,42,132,-11.5,,52,36,,1989-09-02,2.0,9.0,1989.0,1989,16.0,1.0,0.0,1
53,Air Force,,42,87,-3.0,,45,7,,1989-09-09,9.0,9.0,1989.0,1989,38.0,1.0,0.0,2
60,Air Force,,42,94,-13.5,,48,31,,1989-09-16,16.0,9.0,1989.0,1989,17.0,1.0,0.0,3
56,Air Force,,42,41,-20.5,,43,26,,1989-09-23,23.0,9.0,1989.0,1989,17.0,1.0,0.0,4
58,Air Force,,42,89,-8.5,,46,21,,1989-09-30,30.0,9.0,1989.0,1989,25.0,1.0,0.0,5
54,Air Force,,42,66,-14.0,,35,7,,1989-10-07,7.0,10.0,1989.0,1989,28.0,1.0,0.0,6
61,Air Force,,42,102,12.5,50.0,27,41,,1989-10-14,14.0,10.0,1989.0,1989,-14.0,0.0,0.0,7
59,Air Force,,42,110,-11.0,,9,27,,1989-10-21,21.0,10.0,1989.0,1989,-18.0,0.0,0.0,8
50,Air Force,,42,127,-8.5,,29,3,,1989-11-04,4.0,11.0,1989.0,1989,26.0,1.0,0.0,9
55,Air Force,,42,33,2.5,,35,44,,1989-11-11,11.0,11.0,1989.0,1989,-9.0,0.0,0.0,10
57,Air Force,,42,93,-21.0,,42,38,,1989-11-25,25.0,11.0,1989.0,1989,4.0,1.0,0.0,11
62,Air Force,,42,89,-3.0,,33,35,,1990-09-01,1.0,9.0,1990.0,1990,-2.0,0.0,0.0,1
64,Air Force,,42,50,2.0,53.0,27,3,,1990-09-08,8.0,9.0,1990.0,1990,24.0,1.0,0.0,2
66,Air Force,,42,87,8.5,55.0,12,24,,1990-09-22,22.0,9.0,1990.0,1990,-12.0,0.0,0.0,3
65,Air Force,,42,132,4.0,,18,48,,1990-09-29,29.0,9.0,1990.0,1990,-30.0,0.0,0.0,4
69,Air Force,,42,66,-10.0,41.5,24,7,,1990-10-06,6.0,10.0,1990.0,1990,17.0,1.0,0.0,5
71,Air Force,,42,102,28.5,,27,57,,1990-10-13,13.0,10.0,1990.0,1990,-30.0,0.0,0.0,6
63,Air Force,,42,93,-8.5,44.5,52,21,,1990-10-27,27.0,10.0,1990.0,1990,31.0,1.0,0.0,7
72,Air Force,,42,33,17.5,63.0,7,54,,1990-11-03,3.0,11.0,1990.0,1990,-47.0,0.0,0.0,8
67,Air Force,,42,127,3.0,,15,3,,1990-11-10,10.0,11.0,1990.0,1990,12.0,1.0,0.0,9
70,Air Force,,42,41,-8.0,,14,13,,1990-11-17,17.0,11.0,1990.0,1990,1.0,1.0,0.0,10
80,Air Force,,42,89,5.5,56.0,31,26,,1991-09-07,7.0,9.0,1991.0,1991,5.0,1.0,0.0,1
75,Air Force,,42,93,-5.5,,24,21,,1991-09-14,14.0,9.0,1991.0,1991,3.0,1.0,0.0,2
82,Air Force,,42,132,-2.0,64.5,21,20,,1991-09-21,21.0,9.0,1991.0,1991,1.0,1.0,0.0,3
84,Air Force,,42,33,10.0,58.0,7,21,,1991-09-28,28.0,9.0,1991.0,1991,-14.0,0.0,0.0,4
74,Air Force,,42,87,-4.0,,51,28,,1991-10-05,5.0,10.0,1991.0,1991,23.0,1.0,0.0,5
79,Air Force,,42,66,-14.0,,46,6,,1991-10-12,12.0,10.0,1991.0,1991,40.0,1.0,0.0,6
78,Air Force,,42,102,19.5,59.0,15,28,,1991-10-19,19.0,10.0,1991.0,1991,-13.0,0.0,0.0,7
83,Air Force,,42,41,-14.5,51.0,20,13,,1991-10-26,26.0,10.0,1991.0,1991,7.0,1.0,0.0,8
81,Air Force,,42,63,-21.0,,32,34,,1991-11-02,2.0,11.0,1991.0,1991,-2.0,0.0,0.0,9
76,Air Force,,42,127,-14.5,,25,0,,1991-11-09,9.0,11.0,1991.0,1991,25.0,1.0,0.0,10
77,Air Force,,42,50,-4.0,,24,20,,1991-11-23,23.0,11.0,1991.0,1991,4.0,1.0,0.0,11
85,Air Force,,42,98,-6.0,,30,21,,1992-09-05,5.0,9.0,1992.0,1992,9.0,1.0,0.0,1
90,Air Force,,42,50,-8.0,,3,6,,1992-09-12,12.0,9.0,1992.0,1992,-3.0,0.0,0.0,2
96,Air Force,,42,87,-1.5,,42,28,,1992-09-19,19.0,9.0,1992.0,1992,14.0,1.0,0.0,3
94,Air Force,,42,63,-18.0,,33,32,,1992-09-26,26.0,9.0,1992.0,1992,1.0,1.0,0.0,4
89,Air Force,,42,41,-5.5,,28,22,,1992-10-03,3.0,10.0,1992.0,1992,6.0,1.0,0.0,5
86,Air Force,,42,66,-22.0,,18,16,,1992-10-10,10.0,10.0,1992.0,1992,2.0,1.0,0.0,6
87,Air Force,,42,89,-4.0,,28,32,,1992-10-17,17.0,10.0,1992.0,1992,-4.0,0.0,0.0,7
91,Air Force,,42,132,13.0,62.5,20,17,,1992-10-24,24.0,10.0,1992.0,1992,3.0,1.0,0.0,8
93,Air Force,,42,93,-3.5,,13,20,,1992-10-31,31.0,10.0,1992.0,1992,-7.0,0.0,0.0,9
95,Air Force,,42,127,-6.5,,7,3,,1992-11-07,7.0,11.0,1992.0,1992,4.0,1.0,0.0,10
92,Air Force,,42,33,10.5,48.5,7,28,,1992-11-14,14.0,11.0,1992.0,1992,-21.0,0.0,0.0,11
102,Air Force,,42,89,-2.0,,5,8,,1993-09-11,11.0,9.0,1993.0,1993,-3.0,0.0,0.0,1
99,Air Force,,42,132,4.0,,31,38,,1993-09-18,18.0,9.0,1993.0,1993,-7.0,0.0,0.0,2
97,Air Force,,42,33,15.0,50.5,3,30,,1993-09-25,25.0,9.0,1993.0,1993,-27.0,0.0,0.0,3
98,Air Force,,42,87,1.5,,18,31,,1993-10-02,2.0,10.0,1993.0,1993,-13.0,0.0,0.0,4
106,Air Force,,42,66,-2.0,,24,28,,1993-10-09,9.0,10.0,1993.0,1993,-4.0,0.0,0.0,5
100,Air Force,,42,109,17.5,,20,33,,1993-10-16,16.0,10.0,1993.0,1993,-13.0,0.0,0.0,6
104,Air Force,,42,41,-9.5,,31,10,,1993-10-30,30.0,10.0,1993.0,1993,21.0,1.0,0.0,7
103,Air Force,,42,127,-8.0,40.0,25,6,,1993-11-06,6.0,11.0,1993.0,1993,19.0,1.0,0.0,8
105,Air Force,,42,93,6.0,54.0,24,41,,1993-11-13,13.0,11.0,1993.0,1993,-17.0,0.0,0.0,9
101,Air Force,,42,50,7.5,,17,45,,1993-11-20,20.0,11.0,1993.0,1993,-28.0,0.0,0.0,10
108,Air Force,,42,89,6.0,,21,34,,1994-09-03,3.0,9.0,1994.0,1994,-13.0,0.0,0.0,1
107,Air Force,,42,33,15.0,,21,45,,1994-09-10,10.0,9.0,1994.0,1994,-24.0,0.0,0.0,2
117,Air Force,,42,94,2.0,,10,14,,1994-09-17,17.0,9.0,1994.0,1994,-4.0,0.0,0.0,3
116,Air Force,,42,41,-7.0,,47,7,,1994-09-24,24.0,9.0,1994.0,1994,40.0,1.0,0.0,4
113,Air Force,,42,132,9.5,,36,35,,1994-10-01,1.0,10.0,1994.0,1994,1.0,1.0,0.0,5
110,Air Force,,42,66,-23.0,,43,21,,1994-10-08,8.0,10.0,1994.0,1994,22.0,1.0,0.0,6
111,Air Force,,42,109,3.5,54.0,42,7,,1994-10-22,22.0,10.0,1994.0,1994,35.0,1.0,0.0,7
115,Air Force,,42,87,3.0,,34,17,,1994-10-29,29.0,10.0,1994.0,1994,17.0,1.0,0.0,8
114,Air Force,,42,127,-13.5,,10,6,,1994-11-05,5.0,11.0,1994.0,1994,4.0,1.0,0.0,9
118,Air Force,,42,93,7.5,48.5,40,33,,1994-11-12,12.0,11.0,1994.0,1994,7.0,1.0,0.0,10
112,Air Force,,42,102,15.0,49.5,30,42,,1994-11-19,19.0,11.0,1994.0,1994,-12.0,0.0,0.0,11
130,Air Force,,42,33,4.0,54.0,38,12,,1995-09-02,2.0,9.0,1995.0,1995,26.0,1.0,0.0,1
119,Air Force,,42,87,-8.0,53.0,34,10,,1995-09-09,9.0,9.0,1995.0,1995,24.0,1.0,0.0,2
125,Air Force,,42,89,-6.5,48.0,20,27,,1995-09-16,16.0,9.0,1995.0,1995,-7.0,0.0,0.0,3
120,Air Force,,42,94,-3.0,48.0,6,30,,1995-09-23,23.0,9.0,1995.0,1995,-24.0,0.0,0.0,4
126,Air Force,,42,63,-5.5,,27,24,,1995-09-30,30.0,9.0,1995.0,1995,3.0,1.0,0.0,5
128,Air Force,,42,41,-25.0,,56,46,,1995-10-07,7.0,10.0,1995.0,1995,10.0,1.0,0.0,6
122,Air Force,,42,66,-8.0,,30,20,,1995-10-14,14.0,10.0,1995.0,1995,10.0,1.0,0.0,7
127,Air Force,,42,93,1.0,,21,22,,1995-10-21,21.0,10.0,1995.0,1995,-1.0,0.0,0.0,8
129,Air Force,,42,109,3.5,,31,20,,1995-10-28,28.0,10.0,1995.0,1995,11.0,1.0,0.0,9
131,Air Force,,42,127,-7.5,45.0,38,20,,1995-11-11,11.0,11.0,1995.0,1995,18.0,1.0,0.0,10
123,Air Force,,42,102,6.0,51.0,14,44,,1995-11-18,18.0,11.0,1995.0,1995,-30.0,0.0,0.0,11
121,Air Force,,42,50,-11.5,52.0,45,28,,1995-11-25,25.0,11.0,1995.0,1995,17.0,1.0,0.0,12
135,Air Force,,42,43,-22.0,,45,0,,1996-08-31,31.0,8.0,1996.0,1996,45.0,1.0,0.0,1
138,Air Force,,42,108,-30.0,,65,17,,1996-09-07,7.0,9.0,1996.0,1996,48.0,1.0,0.0,2
133,Air Force,,42,87,2.0,,19,22,,1996-09-21,21.0,9.0,1996.0,1996,-3.0,0.0,0.0,3
132,Air Force,,42,98,-16.5,,45,17,,1996-09-28,28.0,9.0,1996.0,1996,28.0,1.0,0.0,4
136,Air Force,,42,66,-12.0,,17,20,,1996-10-12,12.0,10.0,1996.0,1996,-3.0,0.0,0.0,5
137,Air Force,,42,102,21.5,,20,17,,1996-10-19,19.0,10.0,1996.0,1996,3.0,1.0,0.0,6
141,Air Force,,42,50,-35.0,,34,7,,1996-10-26,26.0,10.0,1996.0,1996,27.0,1.0,0.0,7
140,Air Force,,42,89,-11.0,50.0,41,42,,1996-11-02,2.0,11.0,1996.0,1996,-1.0,0.0,0.0,8
134,Air Force,,42,127,-3.0,48.0,7,23,,1996-11-09,9.0,11.0,1996.0,1996,-16.0,0.0,0.0,9
139,Air Force,,42,109,-9.5,,44,38,,1996-11-16,16.0,11.0,1996.0,1996,6.0,1.0,0.0,10
142,Air Force,,42,132,0.0,63.0,23,28,,1996-11-28,28.0,11.0,1996.0,1996,-5.0,0.0,0.0,11
146,Air Force,,42,80,-17.0,,14,10,,1997-08-30,30.0,8.0,1997.0,1997,4.0,1.0,0.0,1
154,Air Force,,42,98,6.5,,41,12,,1997-09-06,6.0,9.0,1997.0,1997,29.0,1.0,0.0,2
150,Air Force,,42,89,10.5,52.0,24,0,,1997-09-20,20.0,9.0,1997.0,1997,24.0,1.0,0.0,4
153,Air Force,,42,132,-6.0,54.0,24,18,,1997-09-27,27.0,9.0,1997.0,1997,6.0,1.0,0.0,5
143,Air Force,,42,66,-1.5,,10,7,,1997-10-11,11.0,10.0,1997.0,1997,3.0,1.0,0.0,7
144,Air Force,,42,109,-12.0,,17,20,,1997-10-18,18.0,10.0,1997.0,1997,-3.0,0.0,0.0,8
149,Air Force,,42,43,-16.0,,22,25,,1997-10-25,25.0,10.0,1997.0,1997,-3.0,0.0,0.0,9
145,Air Force,,42,50,-11.0,,34,27,,1997-11-01,1.0,11.0,1997.0,1997,7.0,1.0,0.0,10
151,Air Force,,42,127,-14.0,,24,0,,1997-11-08,8.0,11.0,1997.0,1997,24.0,1.0,0.0,11
155,Air Force,,42,87,1.0,,14,3,,1997-11-15,15.0,11.0,1997.0,1997,11.0,1.0,0.0,12
157,Air Force,,42,138,-1.0,44.5,42,0,,1998-09-05,5.0,9.0,1998.0,1998,42.0,1.0,0.0,1
164,Air Force,,42,89,-2.0,44.0,30,27,,1998-09-17,17.0,9.0,1998.0,1998,3.0,1.0,0.0,3
159,Air Force,,42,110,-8.5,,34,35,,1998-09-26,26.0,9.0,1998.0,1998,-1.0,0.0,0.0,4
163,Air Force,,42,63,-16.5,,56,14,,1998-10-03,3.0,10.0,1998.0,1998,42.0,1.0,0.0,5
165,Air Force,,42,66,-16.0,,49,7,,1998-10-10,10.0,10.0,1998.0,1998,42.0,1.0,0.0,6
156,Air Force,,42,97,-11.0,,42,21,,1998-10-24,24.0,10.0,1998.0,1998,21.0,1.0,0.0,7
166,Air Force,,42,73,-20.0,,31,7,,1998-10-31,31.0,10.0,1998.0,1998,24.0,1.0,0.0,8
168,Air Force,,42,127,-13.0,,35,7,,1998-11-07,7.0,11.0,1998.0,1998,28.0,1.0,0.0,9
162,Air Force,,42,87,-6.0,,10,3,,1998-11-14,14.0,11.0,1998.0,1998,7.0,1.0,0.0,10
167,Air Force,,42,98,-21.5,,22,16,,1998-11-21,21.0,11.0,1998.0,1998,6.0,1.0,0.0,11
179,Air Force,,42,54,4.0,53.5,31,21,,1999-09-18,18.0,9.0,1999.0,1999,10.0,1.0,0.0,2
170,Air Force,,42,87,-8.0,,7,10,,1999-09-25,25.0,9.0,1999.0,1999,-3.0,0.0,0.0,3
178,Air Force,,42,132,-2.0,46.0,23,22,,1999-10-02,2.0,10.0,1999.0,1999,1.0,1.0,0.0,4
171,Air Force,,42,66,-10.0,,19,14,,1999-10-09,9.0,10.0,1999.0,1999,5.0,1.0,0.0,5
172,Air Force,,42,93,-3.5,43.0,15,21,,1999-10-16,16.0,10.0,1999.0,1999,-6.0,0.0,0.0,6
169,Air Force,,42,33,8.5,49.0,20,27,,1999-10-30,30.0,10.0,1999.0,1999,-7.0,0.0,0.0,7
173,Air Force,,42,127,-15.5,,28,0,,1999-11-06,6.0,11.0,1999.0,1999,28.0,1.0,0.0,8
177,Air Force,,42,89,2.0,42.5,21,41,,1999-11-18,18.0,11.0,1999.0,1999,-20.0,0.0,0.0,10
175,Air Force,,42,63,-10.5,46.0,28,33,,1999-11-27,27.0,11.0,1999.0,1999,-5.0,0.0,0.0,11
181,Air Force,,42,33,2.0,,31,23,,2000-09-09,9.0,9.0,2000.0,2000,8.0,1.0,0.0,2
182,Air Force,,42,93,2.0,48.0,23,14,,2000-09-23,23.0,9.0,2000.0,2000,9.0,1.0,0.0,3
188,Air Force,,42,66,-16.5,,27,13,,2000-10-07,7.0,10.0,2000.0,2000,14.0,1.0,0.0,5
180,Air Force,,42,87,-16.0,,51,34,,2000-10-14,14.0,10.0,2000.0,2000,17.0,1.0,0.0,6
183,Air Force,,42,63,-11.5,,23,29,,2000-10-21,21.0,10.0,2000.0,2000,-6.0,0.0,0.0,7
187,Air Force,,42,102,13.5,50.0,31,34,,2000-10-28,28.0,10.0,2000.0,2000,-3.0,0.0,0.0,8
184,Air Force,,42,127,-7.0,,41,27,,2000-11-04,4.0,11.0,2000.0,2000,14.0,1.0,0.0,9
186,Air Force,,42,89,3.0,47.5,44,40,,2000-11-11,11.0,11.0,2000.0,2000,4.0,1.0,0.0,10
185,Air Force,,42,132,-9.5,,45,24,,2000-11-18,18.0,11.0,2000.0,2000,21.0,1.0,0.0,11
198,Air Force,,42,139,17.0,48.5,3,44,,2001-09-01,1.0,9.0,2001.0,2001,-41.0,0.0,0.0,1
200,Air Force,,42,132,5.5,42.0,45,21,,2001-09-29,29.0,9.0,2001.0,2001,24.0,1.0,0.0,3
195,Air Force,,42,66,-14.0,,24,18,,2001-10-06,6.0,10.0,2001.0,2001,6.0,1.0,0.0,4
192,Air Force,,42,87,-13.0,,24,13,,2001-10-13,13.0,10.0,2001.0,2001,11.0,1.0,0.0,5
196,Air Force,,42,33,12.5,60.5,33,63,,2001-10-20,20.0,10.0,2001.0,2001,-30.0,0.0,0.0,6
203,Air Force,,42,63,2.5,,33,52,,2001-10-27,27.0,10.0,2001.0,2001,-19.0,0.0,0.0,7
194,Air Force,,42,127,-13.0,,34,24,,2001-11-03,3.0,11.0,2001.0,2001,10.0,1.0,0.0,8
202,Air Force,,42,89,8.5,57.0,21,28,,2001-11-08,8.0,11.0,2001.0,2001,-7.0,0.0,0.0,9
199,Air Force,,42,108,-2.5,54.5,10,34,,2001-11-17,17.0,11.0,2001.0,2001,-24.0,0.0,0.0,10
197,Air Force,,42,50,12.0,63.5,30,52,,2001-11-24,24.0,11.0,2001.0,2001,-22.0,0.0,0.0,11
211,Air Force,,42,94,0.0,58.0,52,3,,2002-08-31,31.0,8.0,2002.0,2002,49.0,1.0,0.0,1
208,Air Force,,42,63,-6.5,52.5,38,31,,2002-09-07,7.0,9.0,2002.0,2002,7.0,1.0,0.0,2
213,Air Force,,42,44,9.5,61.0,23,21,,2002-09-21,21.0,9.0,2002.0,2002,2.0,1.0,0.0,3
209,Air Force,,42,93,8.0,44.5,30,26,,2002-09-28,28.0,9.0,2002.0,2002,4.0,1.0,0.0,4
210,Air Force,,42,66,-22.5,57.0,48,7,,2002-10-05,5.0,10.0,2002.0,2002,41.0,1.0,0.0,5
212,Air Force,,42,33,-5.5,62.5,52,9,,2002-10-12,12.0,10.0,2002.0,2002,43.0,1.0,0.0,6
206,Air Force,,42,102,-2.5,44.0,14,21,,2002-10-19,19.0,10.0,2002.0,2002,-7.0,0.0,0.0,7
214,Air Force,,42,87,-18.0,59.0,26,34,,2002-10-26,26.0,10.0,2002.0,2002,-8.0,0.0,0.0,8
207,Air Force,,42,89,1.0,54.5,12,31,,2002-10-31,31.0,10.0,2002.0,2002,-19.0,0.0,0.0,9
216,Air Force,,42,127,-18.0,57.5,49,30,,2002-11-09,9.0,11.0,2002.0,2002,19.0,1.0,0.0,10
205,Air Force,,42,108,-6.0,53.0,49,32,,2002-11-16,16.0,11.0,2002.0,2002,17.0,1.0,0.0,11
204,Air Force,,42,132,-16.0,53.0,34,38,,2002-11-23,23.0,11.0,2002.0,2002,-4.0,0.0,0.0,12
224,Air Force,,42,94,-7.5,62.0,22,21,,2003-09-06,6.0,9.0,2003.0,2003,1.0,1.0,0.0,2
217,Air Force,,42,99,-10.0,45.5,34,21,,2003-09-13,13.0,9.0,2003.0,2003,13.0,1.0,0.0,3
221,Air Force,,42,87,-21.0,,35,29,,2003-09-20,20.0,9.0,2003.0,2003,6.0,1.0,0.0,4
225,Air Force,,42,33,-1.5,49.5,24,10,,2003-09-27,27.0,9.0,2003.0,2003,14.0,1.0,0.0,5
228,Air Force,,42,66,-13.5,51.0,25,28,,2003-10-04,4.0,10.0,2003.0,2003,-3.0,0.0,0.0,6
219,Air Force,,42,108,-6.5,49.0,24,7,,2003-10-11,11.0,10.0,2003.0,2003,17.0,1.0,0.0,7
223,Air Force,,42,89,6.0,53.0,20,30,,2003-10-16,16.0,10.0,2003.0,2003,-10.0,0.0,0.0,8
222,Air Force,,42,93,-3.5,47.5,43,45,,2003-11-01,1.0,11.0,2003.0,2003,-2.0,0.0,0.0,9
220,Air Force,,42,127,-28.5,55.0,31,3,,2003-11-08,8.0,11.0,2003.0,2003,28.0,1.0,0.0,10
227,Air Force,,42,63,4.5,51.5,12,24,,2003-11-15,15.0,11.0,2003.0,2003,-12.0,0.0,0.0,11
226,Air Force,,42,132,-4.5,42.0,3,24,,2003-11-22,22.0,11.0,2003.0,2003,-21.0,0.0,0.0,12
235,Air Force,,42,44,14.0,53.0,14,56,,2004-09-04,4.0,9.0,2004.0,2004,-42.0,0.0,0.0,1
239,Air Force,,42,Eastern Washington,22.0,,42,20,,2004-09-11,11.0,9.0,2004.0,2004,22.0,1.0,0.0,2
229,Air Force,,42,108,7.0,45.0,27,10,,2004-09-18,18.0,9.0,2004.0,2004,17.0,1.0,0.0,3
236,Air Force,,42,93,22.0,53.0,35,49,,2004-09-25,25.0,9.0,2004.0,2004,-14.0,0.0,0.0,4
231,Air Force,,42,66,-1.5,52.5,21,24,,2004-09-30,30.0,9.0,2004.0,2004,-3.0,0.0,0.0,5
234,Air Force,,42,63,-3.0,45.0,28,23,,2004-10-09,9.0,10.0,2004.0,2004,5.0,1.0,0.0,6
230,Air Force,,42,33,-1.0,48.0,24,41,,2004-10-23,23.0,10.0,2004.0,2004,-17.0,0.0,0.0,7
238,Air Force,,42,87,1.5,53.5,26,43,,2004-10-30,30.0,10.0,2004.0,2004,-17.0,0.0,0.0,8
237,Air Force,,42,127,-3.5,62.0,31,22,,2004-11-06,6.0,11.0,2004.0,2004,9.0,1.0,0.0,9
233,Air Force,,42,132,-5.5,50.5,31,37,,2004-11-13,13.0,11.0,2004.0,2004,-6.0,0.0,0.0,10
232,Air Force,,42,89,1.5,55.5,47,17,,2004-11-20,20.0,11.0,2004.0,2004,30.0,1.0,0.0,11
246,Air Force,,42,54,3.5,52.0,20,17,,2005-09-03,3.0,9.0,2005.0,2005,3.0,1.0,0.0,1
250,Air Force,,42,132,-7.5,54.0,41,29,,2005-09-10,10.0,9.0,2005.0,2005,12.0,1.0,0.0,2
249,Air Force,,42,87,-2.5,54.5,28,29,,2005-09-17,17.0,9.0,2005.0,2005,-1.0,0.0,0.0,3
244,Air Force,,42,93,7.0,55.5,35,38,,2005-09-22,22.0,9.0,2005.0,2005,-3.0,0.0,0.0,4
243,Air Force,,42,89,3.5,62.0,23,41,,2005-09-29,29.0,9.0,2005.0,2005,-18.0,0.0,0.0,5
245,Air Force,,42,66,-2.0,53.5,24,27,,2005-10-08,8.0,10.0,2005.0,2005,-3.0,0.0,0.0,6
248,Air Force,,42,108,-13.5,52.0,42,7,,2005-10-15,15.0,10.0,2005.0,2005,35.0,1.0,0.0,7
241,Air Force,,42,110,-1.0,56.5,10,48,,2005-10-22,22.0,10.0,2005.0,2005,-38.0,0.0,0.0,8
247,Air Force,,42,33,7.0,56.5,41,62,,2005-10-29,29.0,10.0,2005.0,2005,-21.0,0.0,0.0,9
242,Air Force,,42,127,-12.5,54.5,24,27,,2005-11-05,5.0,11.0,2005.0,2005,-3.0,0.0,0.0,10
240,Air Force,,42,63,9.5,60.0,42,24,,2005-11-19,19.0,11.0,2005.0,2005,18.0,1.0,0.0,11
256,Air Force,,42,114,20.0,48.0,30,31,,2006-09-09,9.0,9.0,2006.0,2006,-1.0,0.0,0.0,1
