,school,teamname,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new,year,team,unitid,vseteamname,alumni_ops_academic,alumni_ops_faculty,alumni_ops_research,alumni_ops_libraries,alumni_ops_physical_plant,alumni_ops_student_aid,alumni_ops_athletics,alumni_ops_other,alumni_ops_total,alumni_donation_rate,alumni_ugrad_donation_rate,alumni_ops_donation_rate,alumni_solicit_rate,alumni_giving_as_share_of_total,alumni_of_record,alumni_donors,alumni_total_giving,ops_athletics_donors,ops_athletics_total_ath,capital_athletics_donors,capital_athletics_total,athletics_donors,athletics_total,corporations_total_giving,expenditures_per_student,foundations_total_giving,foundations_ops_athletics,foundations_ops_total,corporations_ops_athletics,corporations_ops_total,ops_athletics_total_grand,ops_total,total_giving_2004_onwards,total_giving_pre_2004,alumni_ops_pub_serv,corporations_total,foundations_total,appdate,applicants_male,applicants_female,admits_male,admits_female,enrolled_male,enrolled_female,satdate,satnum,satpct,actnum,actpct,satvr25,satvr75,satmt25,satmt75,actcm25,actcm75,acten25,acten75,actmt25,actmt75,name,city,state,fips,control,iclevel,black,asian,hispanic,vse_alum_giving_rate,first_time_students_missing,first_time_students_total,first_time_outofstate,first_time_instate
0,U. of Akron,Akron,1990.0,79.0,,,,,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNIVERSITY OF AKRON, MAIN CAMPUS",AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
1,U. of Akron,Akron,1991.0,77.0,,,,,,724-1074,,,1989,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,0.9908492160634144,,68628.0,9749.0,1802521.0,,,,,,,2621438.0,,1486670.0,,,,,,,,7723177.0,,2621438.0,1486670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14205572,,,,
2,,Akron,,,,,,,,,,,1990,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,1.0,,70000.0,10436.0,1505447.0,,,,,,,4084436.0,,422482.0,,,,,,,,8512164.0,,4084436.0,422482.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.14908572,,,,
3,U. of Akron,Akron,1993.0,95.0,,16.0,,,,748-1074,,,1991,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,0.7887323943661971,,71000.0,12250.0,1789551.0,,,,,,,4017577.0,,922911.0,,,,,,,,8131367.0,,4017577.0,922911.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.17253521,,3453.0,80.0,3373.0
4,University of Akron,Akron,1994.0,82.0,,18.0,,,207.0,,911,,1992,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
5,U. of Akron,Akron,1996.0,95.0,16.0,15.0,,,,19-24,,,1994,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,1.0,,55000.0,11591.0,5549000.0,,,,,,,4010000.0,,1400000.0,,,,,,,,12599000.0,,4010000.0,1400000.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),10.0,1.0,1.0,0.21074545,,,,
6,Univ of Akron,Akron,1997.0,61.0,10.0,14.0,,,,,,,1995,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),11.0,2.0,1.0,,,2900.0,86.0,2814.0
7,Univ of Akron,Akron,1998.0,100.0,11.0,14.0,,,,17-23,,2.2,1996,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12.0,2.0,1.0,,,,,
8,University of Akron,Akron,1999.0,100.0,13.0,12.0,,,,,,2.2,1997,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),12.0,2.0,1.0,,,3054.0,69.0,2985.0
9,University of Akron,Akron,2000.0,100.0,13.0,11.0,,,,17-24,,,1998,124.0,200800.0,"University of Akron (Akron, OH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,U. of Akron,Akron,2001.0,90.0,11.0,10.0,,,,,,2.2,1999,124.0,200800.0,"University of Akron (Akron, OH)",541507.0,,,11911.0,,82443.0,505779.0,82564.0,1232620.0,0.07400000000000001,0.069,0.066,0.857,,125579.0,9239.0,4961000.0,1567.0,711780.0,24.0,,1591.0,,3614830.0,10350.0,1245300.0,7269.0,1102680.0,83545.0,2376170.0,711845.0,5768710.0,,15510900.0,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),14.0,2.0,1.0,0.07357122,0.0,2916.0,75.0,2841.0
11,U. of Akron,Akron,2002.0,85.0,21.0,10.0,,,,,,2.3,2000,124.0,200800.0,"University of Akron (Akron, OH)",630165.0,,,10370.0,,292846.0,279831.0,239194.0,1519160.0,0.086,0.077,0.063,0.764,,129220.0,11081.0,4197070.0,1220.0,647150.0,16.0,,,,3460922.0,11194.0,1812851.0,12500.0,1009590.0,82021.0,2066987.0,572841.0,7292657.0,,26091254.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),14.0,2.0,1.0,0.08575298,,,,
12,,Akron,,,,,,,,,,,2001,124.0,200800.0,"University of Akron (Akron, OH)",521413.0,,,16677.0,,451639.0,239812.0,132047.0,1427427.0,0.085,0.077,0.059000000000000004,0.794,,132150.0,11217.0,5355749.0,1490.0,823640.0,18.0,,,,6665278.0,11146.0,2636900.0,23700.0,1709900.0,325104.0,1975687.0,701825.0,7265910.0,,22347403.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),13.0,2.0,1.0,0.084880814,3117.0,3128.0,68.0,3060.0
13,U. of Akron,Akron,2004.0,71.0,8.0,11.0,,,,,,2.2,2002,124.0,200800.0,"University of Akron (Akron, OH)",750762.0,,,11138.0,,581738.0,188892.0,438329.0,2349792.0,0.075,0.07400000000000001,0.055999999999999994,0.7879999999999999,0.249,125930.0,9405.0,5095217.0,1545.0,541949.0,16.0,61146.0,1561.0,603095.0,6914095.0,11975.0,2518239.0,44700.0,2418164.0,144510.0,2297909.0,492103.0,10439735.0,20423675.0,20423675.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.07468435,,,,
14,U. of Akron,Akron,2005.0,86.0,11.0,11.0,,,,,,2.2,2003,124.0,200800.0,"University of Akron (Akron, OH)",956935.0,,,6333.0,,339467.0,356156.0,311258.0,2004084.0,0.066,0.064,0.063,0.845,0.309,129094.0,8481.0,5371124.0,1815.0,918179.0,273.0,155161.0,2088.0,1073340.0,3909426.0,11159.0,4154454.0,129443.0,2128274.0,51645.0,2746874.0,863938.0,8517111.0,17397297.0,17397297.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,UNIVERSITY OF AKRON MAIN CAMPUS,AKRON,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.065696314,2998.0,2999.0,57.0,2933.0
15,U. of Akron,Akron,2006.0,82.0,12.0,12.0,,,,,,2.2,2004,124.0,200800.0,"University of Akron (Akron, OH)",687764.0,,,20417.0,,236801.0,159669.0,630361.0,1924695.0,0.084,0.083,0.07,0.7929999999999999,0.192,143457.0,12036.0,4087990.0,1867.0,913281.0,,,1867.0,913281.0,2825778.0,11953.0,5090043.0,142740.0,4974187.0,45515.0,2234752.0,616924.0,11772755.0,21341440.0,21341440.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.08389971,3086.0,3086.0,96.0,2975.0
16,U. of Akron,Akron,2007.0,79.0,12.0,12.0,,,,,,2.2,2005,124.0,200800.0,"University of Akron (Akron, OH)",615743.0,,,5267.0,,,218665.0,150462.0,1266731.0,0.07200000000000001,0.07,0.057999999999999996,0.7929999999999999,0.221,149273.0,10816.0,5576803.0,1730.0,1700510.0,,,1730.0,1700510.0,9819260.0,11978.0,5468248.0,215049.0,5006528.0,551275.0,4585935.0,1226343.0,13082883.0,25226405.0,25226405.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.07245784,3763.0,3763.0,92.0,3657.0
17,U. of Akron,Akron,2008.0,82.0,12.0,13.0,,,,,,2.1,2006,124.0,200800.0,"University of Akron (Akron, OH)",433683.0,,,20661.0,,234530.0,206943.0,229373.0,1163189.0,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.858,0.158,138659.0,7457.0,5155882.0,1790.0,1638081.0,,,1790.0,1638081.0,13917032.0,15881.0,4538105.0,244980.0,3911631.0,543510.0,9738536.0,1311770.0,16860457.0,32625841.0,32625841.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.053779416,4102.0,4109.0,145.0,3963.0
18,,Akron,,,,,,,,,,,2007,124.0,200800.0,"University of Akron (Akron, OH)",524954.0,,,16888.0,,250552.0,212720.0,,1292263.0,0.084,0.083,0.07200000000000001,0.852,0.07400000000000001,142519.0,12000.0,3046698.0,1708.0,1451187.0,,,1708.0,1451187.0,20038096.0,15675.0,11236544.0,221479.0,8568091.0,577708.0,7401009.0,1346933.0,19740816.0,41036101.0,41036101.0,,,,{Item not applicable},,,,,,,{Item not applicable},,,,,,,,,,,,,,,University of Akron Main Campus,Akron,OH,Ohio,Public,4 or more years (Baccalaureate or higher degree),,,,0.0841993,4129.0,4149.0,154.0,3993.0
19,,Akron,,,,,,,,,,,2008,124.0,200800.0,"University of Akron (Akron, OH)",761820.0,,,9510.0,,314388.0,538303.0,65779.0,1718118.0,0.077,0.077,0.067,0.848,0.062,145115.0,11160.0,2737631.0,2958.0,1726409.0,,,2958.0,1726409.0,32785576.0,15040.0,4858526.0,282248.0,4546073.0,438876.0,3672274.0,1603149.0,12742022.0,44025846.0,44025846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07690452,,,,
20,U. of Alabama at Tuscaloosa,Alabama,1990.0,80.0,9.0,,,,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
21,U. of Alabama at Tuscaloosa,Alabama,1991.0,75.0,36.0,,,,,840-1080,,,1989,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,0.9745638826625085,,112871.0,44510.0,7388712.0,,,,,,,3706482.0,,551251.0,,,,,,,,14340299.0,,3706482.0,551251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39434397,,,,
22,,Alabama,,,,,,,,,,,1990,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,0.9268556422337221,,129470.0,45740.0,12784396.0,,,,,,,3269627.0,,710982.0,,,,,,,,20157943.0,,3269627.0,710982.0,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.35328647,,,,
23,U. of Alabama at Tuscaloosa,Alabama,1993.0,93.0,,33.0,,,,20-25,,,1991,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,0.8863636363636364,,132000.0,40852.0,9859658.0,,,,,,,3560909.0,,381385.0,,,,,,,,21302922.0,,3560909.0,381385.0,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.30948484,,2453.0,892.0,1561.0
24,University of Alabama at Tuscaloosa,Alabama,1994.0,79.0,,29.0,,,120.0,,23,,1992,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,0.8873645558784439,,133173.0,37153.0,9368776.0,,,,,,,6430542.0,,1341679.0,,,,,,,,24666187.0,,6430542.0,1341679.0,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.27898297,,,,
25,,Alabama,,,,,,,,,,,1994,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,0.9583184894905593,,140350.0,37395.0,12253000.0,,,,,,,4992000.0,,1289000.0,,,,,,,,25709000.0,,4992000.0,1289000.0,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),11.0,1.0,1.0,0.26644105,,,,
26,Univ of Alabama,Alabama,1997.0,77.0,21.0,29.0,,,,,,,1995,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,1.0,,149409.0,36008.0,21135000.0,,,,,,,3500000.0,,1205000.0,,,,,,,,30916000.0,,3500000.0,1205000.0,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),11.0,1.0,1.0,0.24100289,,2066.0,682.0,1384.0
27,Univ of Alabama,Alabama,1998.0,81.0,22.0,34.0,,,,21-27,,2.6,1996,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,1.0,,150212.0,36364.0,20031000.0,,,,,,,8027000.0,,1001000.0,,,,,,,,33115000.0,,8027000.0,1001000.0,,,,,,,,,,,,,,,,,,,,,,,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),11.0,1.0,1.0,0.24208452,,,,
28,University of Alabama,Alabama,1999.0,94.0,28.0,32.0,,,,,,2.7,1997,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,1.0,,130172.0,35501.0,23150000.0,,,,,,,10147000.0,,3434000.0,,,,,,,,42979000.0,,10147000.0,3434000.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),12.0,1.0,1.0,0.2727238,,2616.0,675.0,1941.0
29,University of Alabama,Alabama,2000.0,89.0,26.0,24.0,,,,20-26,,,1998,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",746873.0,,2375.0,5700.0,123388.0,117578.0,4887910.0,653902.0,8475940.0,0.264,,0.264,1.0,,132015.0,34813.0,12566900.0,9982.0,5863720.0,12.0,,9994.0,,8564460.0,14763.0,4332010.0,8122.0,2921360.0,221070.0,5136400.0,6434610.0,19797900.0,,30700200.0,66933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2637049,,,,
30,U. of Alabama,Alabama,2001.0,86.0,28.0,25.0,,,,,,3.0,1999,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",921294.0,,125.0,5750.0,99171.0,102444.0,5910550.0,389256.0,9163350.0,0.17,,0.166,1.0,,226365.0,38460.0,15082600.0,13230.0,7618100.0,70.0,,13300.0,,11204300.0,14975.0,2806380.0,878.0,1469790.0,360746.0,9433690.0,7981370.0,23899300.0,,37687700.0,74320.0,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),13.0,1.0,1.0,0.1699026,0.0,2956.0,742.0,2214.0
31,U. of Alabama,Alabama,2002.0,79.0,27.0,24.0,,,,,,3.1,2000,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",939598.0,,1050.0,450.0,157197.0,145464.0,561223.0,5393003.0,8719049.0,0.209,0.248,0.209,1.0,,130170.0,27191.0,13048842.0,784.0,1829697.0,16.0,,,,15544968.0,15204.0,2276632.0,73182.0,1180485.0,338543.0,14679445.0,1829697.0,32142118.0,,40070711.0,76132.0,,,Fall 2001,3435.0,4429.0,2683.0,3567.0,1055.0,1349.0,Fall 2001,765.0,32.0,2182.0,90.0,490.0,600.0,490.0,610.0,21.0,26.0,21.0,27.0,19.0,26.0,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),14.0,1.0,1.0,0.20888838,,2420.0,621.0,1799.0
32,U. of Alabama,Alabama,2003.0,85.0,27.0,23.0,,43.0,,,,3.0,2001,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2001,3301.0,4021.0,2751.0,3445.0,1179.0,1455.0,Fall 2001,833.0,31.0,2366.0,89.0,490.0,620.0,490.0,620.0,21.0,26.0,21.0,28.0,19.0,26.0,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),13.0,1.0,1.0,,2630.0,2654.0,626.0,2028.0
33,University of Alabama,Alabama,2004.0,87.0,24.0,37.0,,45.0,,,,3.1,2002,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2001,3672.0,4626.0,3147.0,4047.0,1342.0,1710.0,Fall 2001,1036.0,34.0,2740.0,89.0,,,,,21.0,26.0,21.0,28.0,19.0,26.0,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,,3054.0,3077.0,799.0,2278.0
34,University of Alabama,Alabama,2005.0,77.0,24.0,21.0,,43.0,,,,3.0,2003,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,0.18600000000000003,,,1.0,0.38,141161.0,26200.0,,,,,,,,12216597.0,18653.0,2799344.0,,,,,,28887571.0,41196466.0,43253778.0,,,,Fall 2001,4033.0,5073.0,3023.0,3998.0,1470.0,1876.0,Fall 2001,422.0,13.0,2927.0,87.0,490.0,600.0,500.0,600.0,21.0,26.0,21.0,28.0,19.0,26.0,THE UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.18560368,3350.0,3367.0,926.0,2441.0
35,University of Alabama,Alabama,2006.0,,,,,45.0,,,,3.1,2004,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,0.19,,,1.0,0.321,139568.0,26474.0,,,,,,,,17564902.0,19960.0,3583555.0,,,,,,34924172.0,53539854.0,53743685.0,,,,Fall 2001,4543.0,5929.0,3349.0,4387.0,1643.0,2066.0,Fall 2001,1292.0,34.0,3223.0,86.0,500.0,630.0,500.0,630.0,20.0,26.0,21.0,28.0,19.0,26.0,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.18968531,3729.0,3735.0,1060.0,2592.0
36,University of Alabama*,Alabama,2007.0,70.0,39.0,27.0,,42.0,,,,3.0,2005,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,0.147,,,0.6609999999999999,0.42,211361.0,31047.0,,,,,,,,15075344.0,19148.0,4750419.0,,,,,,32508793.0,57750502.0,57759735.0,,,,Fall 2001,5466.0,7047.0,3775.0,4991.0,1947.0,2412.0,Fall 2001,1619.0,37.0,3694.0,84.0,500.0,630.0,500.0,630.0,21.0,27.0,21.0,28.0,19.0,26.0,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.14689086,4349.0,4378.0,1480.0,2898.0
37,University of Alabama*,Alabama,2008.0,64.0,38.0,30.0,,42.0,,,,2.9,2006,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,0.13699999999999998,,,0.6809999999999999,0.436,213866.0,29210.0,,,,,,,,17692664.0,20419.0,4780269.0,,,,,,31727468.0,67764053.0,69297617.0,,,,Fall 2001,6185.0,8128.0,3908.0,5232.0,2017.0,2476.0,Fall 2001,1593.0,35.0,3898.0,86.0,490.0,610.0,500.0,620.0,21.0,27.0,21.0,28.0,20.0,26.0,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.13658085,4517.0,4538.0,1498.0,3040.0
38,University of Alabama*,Alabama,2009.0,60.0,42.0,30.0,,41.0,,,,2.9,2007,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,0.136,,,0.6990000000000001,0.406,216706.0,29515.0,,,,,,,,17335418.0,18815.0,6046606.0,,,,,,37940774.0,73750114.0,74387570.0,,,,Fall 2001,8160.0,10340.0,4782.0,6390.0,2255.0,2785.0,Fall 2001,1720.0,34.0,4439.0,87.0,490.0,600.0,490.0,610.0,21.0,27.0,21.0,28.0,19.0,26.0,The University of Alabama,Tuscaloosa,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.13619836,5101.0,5116.0,1895.0,3221.0
39,,Alabama,,,,,,,,,,,2008,51.0,100751.0,"University of Alabama (Tuscaloosa, AL)",,,,,,,,,,0.135,,,0.6940000000000001,0.406,218427.0,29471.0,,,,,,,,17782892.0,19073.0,6675812.0,,,,,,41792921.0,75394662.0,75614662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1349238,,,,
40,U. of Alabama at Birmingham,Alabama-Birmingham,1990.0,65.0,,,,,,,,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
41,U. of Alabama at Birmingham,Alabama-Birmingham,1991.0,83.0,,,,,,,,,1989,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,0.5096017989691748,,50251.0,6559.0,613390.0,,,,,,,3461273.0,,5458261.0,,,,,,,,16454701.0,,3461273.0,5458261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13052477,,,,
42,,Alabama-Birmingham,,,,,,,,,,,1990,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,0.636370328113211,,54341.0,7715.0,742113.0,,,,,,,2542481.0,,4474348.0,,,,,,,,15083544.0,,2542481.0,4474348.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.14197384,,,,
43,U. of Alabama at Birmingham,Alabama-Birmingham,1993.0,95.0,,16.0,,,,,,,1991,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,0.940738492665655,,49425.0,8422.0,722554.0,,,,,,,3182723.0,,6845486.0,,,,,,,,25375645.0,,3182723.0,6845486.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.17039959,,1134.0,46.0,1088.0
44,University of Alabama at Birmingham,Alabama-Birmingham,1994.0,70.0,24.0,16.0,,,107.0,,21,,1992,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,0.9228070844374964,,52453.0,7983.0,628588.0,,,,,,,5057936.0,,5600360.0,,,,,,,,20754101.0,,5057936.0,5600360.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),,,,0.1521934,,,,
45,U. of Alabama- Birmingham,Alabama-Birmingham,1996.0,76.0,,11.0,,,,19-24,,,1994,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,0.8208773229610422,,64788.0,9509.0,972000.0,,,,,,,4328000.0,,8502000.0,,,,,,,,23889000.0,,4328000.0,8502000.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),18.0,2.0,1.0,0.14677101,,,,
46,Univ of Alabama-Birmingham,Alabama-Birmingham,1997.0,88.0,,15.0,,,,,,,1995,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,0.9039496412436886,,60208.0,8987.0,883000.0,,,,,,,3444000.0,,9526000.0,,,,,,,,25156000.0,,3444000.0,9526000.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),20.0,2.0,1.0,0.14926589,,1131.0,93.0,1038.0
47,Univ of Alabama-Birmingham,Alabama-Birmingham,1998.0,90.0,,15.0,,,,19-24,,2.8,1996,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,0.8965506258559734,,62794.0,9955.0,1115000.0,,,,,,,7144000.0,,12207000.0,,,,,,,,33336000.0,,7144000.0,12207000.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),20.0,3.0,1.0,0.15853426,,,,
48,U of Alabama-Birmingham,Alabama-Birmingham,1999.0,87.0,20.0,12.0,,,,,,2.8,1997,146.0,100663.0,"University of Alabama at Birmingham (Birmingham, AL)",,,,,,,,,,,,,1.0,,64745.0,5150.0,1086000.0,,,,,,,7308000.0,,13464000.0,,,,,,,,55138000.0,,7308000.0,13464000.0,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,Alabama,Public,4 or more years (Baccalaureate or higher degree),22.0,3.0,1.0,0.07954282,,1175.0,82.0,1093.0
